NUM_CAS,ADREÇA,NUMERO,ESCALA,PIS,PORTA,CODI_POSTAL,POBLACIO,COMARCA,NOM_PROVINCIA,CODI_POBLACIO,CODI_COMARCA,CODI_PROVINCIA,REFERENCIA CADASTRAL,ZONA CLIMATICA,METRES_CADASTRE,ANY_CONSTRUCCIO,US_EDIFICI,Qualificació de consum d'energia primaria no renovable,Energia primària no renovable,Qualificacio d'emissions de CO2,Emissions de CO2,Consum d'energia final,Cost anual aproximat d'energia per habitatge,VEHICLE ELECTRIC,SOLAR TERMICA,SOLAR FOTOVOLTAICA,SISTEMA BIOMASSA,XARXA DISTRICTE,ENERGIA GEOTERMICA,INFORME_INS_TECNICA_EDIFICI,Eina de certificacio,VALOR AILLAMENTS,VALOR FINESTRES,Motiu de la certificacio,VALOR AILLAMENTS CTE,VALOR FINESTRES CTE,UTM_X,UTM_Y,Normativa construcció,Tipus Tramit,TIPUS_TERCIARI,Qualificació emissions calefacció,Emissions calefacció,Qualificació emissions refrigeració,Emissions refrigeració,Qualificació emissions ACS,Emissions ACS,Qualificació emissions enllumenament,Emissions enllumenament,Qualificació energia calefacció,Energia calefacció,Qualificació energia refrigeració,Energia refrigeració,Qualificació energia ACS,Energia ACS,Qualificació energia enllumenament,Energia enllumenament,Qualificació energia calefacció demanda,Energia calefacció demanda,Qualificació energia refrigeració demanda,Energia refrigeració demanda,VENTILACIO US RESIDENCIAL,LONGITUD,LATITUD,GEOREFERÈNCIA,REHABILITACIO_ENERGETICA,ACTUACIONS_REHABILITACIO,DATA_ENTRADA,LIMADM_MUNICIPI,LIMADM COMARCA
ZTWC9SMB,Plaça CATALUNYA,1,,1,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4150401DF2745A0191SP,C2,60,,Habitatge individual en bloc d'habitatges,G,486.59,G,98.58,374.32,27.91,NO,NO,NO,NO,NO,NO,,CE3X,1.69,5.36,Certificació voluntària,0.49,2.1,424038.04,4574939.05,NBE-CT-79,Edificis existents,,G,86.4,B,0.99,G,11.19,,0,G,427.87,C,5.87,G,52.85,,0,G,243.68,C,5.29,,2.092351173333736,41.3223479802271,POINT (2.092351173334 41.322347980227),NO,,03/03/2023,503,31
C6Q06M2MR,Carrer Sant Joaquim,98,,3º,8ª,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4861202DF2746B0025KA,C2,55,,Habitatge individual en bloc d'habitatges,E,126.94,E,26.55,104.11,6.68,NO,NO,NO,NO,NO,NO,,CE3X,1.98,5.7,Certificació voluntària,0.49,2.1,424721.68,4575969.03,Abans de 1979,Edificis existents,,D,14.9,C,1.32,G,10.33,,0,D,70.36,D,7.8,G,48.78,,0,E,54.4,D,7.98,,2.100391234231809,41.33168873288637,POINT (2.100391234232 41.331688732886),NO,,03/02/2022,503,31
NHFZHF6G2,Carrer PRIMER DE MAIG,8,,0,4,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4558910DF2745H0008SF,C2,83,,Terciari,B,160.17,C,41.68,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Lloguer,0.49,2.1,424481.43,4575665.44,NRE-AT-87,Edificis existents,Local,E,24.38,B,0.53,G,5.7,,0,E,115.15,B,3.12,G,26.93,,0,E,54.96,B,3.19,,2.09755821910492,41.328931943730865,POINT (2.097558219105 41.328931943731),,,02/06/2015,503,31
GNNHRZ2FF,Calle Urgell,32,,1,5,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3854407DF2735D0007EL,C2,53,,Vivienda individual en bloque de viviendas,E,190.15,E,34.38,113.84,14.99,NO,NO,NO,NO,NO,NO,,CE3X,1.9,4.9,Compra o Venta,0.49,2.1,423765.87,4575253.35,Abans de 1979,Edificis existents,,E,22.43,C,1.06,G,10.89,,0,E,132.41,C,6.23,G,51.51,,0,G,119.47,C,5.49,,2.089060056694954,41.32515306253267,POINT (2.089060056695 41.325153062533),NO,,26/01/2022,503,31
32M8D6QNZ,Carrer Jaume Casanovas,135,A,1r,4a,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4253613DF2745C0010WF,C2,67,,Habitatge individual en bloc d'habitatges,E,135.93,D,23.03,69.56,11.03,NO,NO,NO,NO,NO,NO,,CE3X,1.91,4.88,Compravenda,0.49,2.1,424175.28,4575092.29,Abans de 1979,Edificis existents,,D,13.47,B,0.58,G,8.98,,0,E,79.53,B,3.4,G,53,,0,E,93.04,B,3.54,,2.093971702128843,41.32374107087073,POINT (2.093971702129 41.323741070871),NO,,16/10/2022,503,31
VJ104DYSM,Carrer Coronel Sanfeliu,98,,Bx,1a,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4451807DF2745A0001BD,C2,88,,Terciari,C,193.01,C,38.48,52.91,5.4,NO,NO,NO,NO,NO,NO,,CE3X,1.81,5.27,Compravenda,0.49,2.1,424371.89,4574908.33,Abans de 1979,Edificis existents,Oficines,G,21.23,A,2.15,G,7.67,A,7.43,G,100.23,A,12.67,F,36.24,A,43.88,G,77.49,A,12.96,,2.096343602051214,41.322102682478686,POINT (2.096343602051 41.322102682479),NO,,23/02/2020,503,31
RW23SSQNP,Carrer Riu Llobregat,44,,00,02,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3444303DF2734C0002QA,C2,71,,Terciari,D,339.85,D,58.35,179.85,3101.04,NO,NO,NO,NO,NO,NO,,CE3X,1.8,5.44,Lloguer,0.49,2.1,423413.67,4574312.43,NBE-CT-79,Edificis existents,Restauració,F,35,D,6.63,E,3.91,B,12.8,G,206.64,D,39.15,D,18.48,B,75.58,G,135.79,C,28.83,,2.084970601255754,41.31664520481133,POINT (2.084970601256 41.316645204811),NO,,05/12/2017,503,31
B994WQ873,Avinguda Verge de Montserrat,148,,2,2,08022,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4154218DF2745C0005LS,C2,61,,Habitatge individual en bloc d'habitatges,F,219.9,E,46.57,184.79,11.17,NO,NO,NO,NO,NO,NO,,CE3X,1.87,4.59,Compravenda,0.49,2.1,424025.44,4575209.96,Abans de 1979,Edificis existents,,E,30.54,A,0.46,G,15.56,,0,E,144.23,B,2.19,G,73.48,,0,E,84.54,B,2.53,,2.092166771562334,41.324786770552656,POINT (2.092166771562 41.324786770553),NO,,03/01/2022,503,31
RX753LLCN,Carrer CARRETERA MARINA,57,,1,4,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4954914DF2745D0008LQ,C2,60,,Habitatge individual en bloc d'habitatges,E,140.3,E,28.23,106.42,8.19,NO,NO,NO,NO,NO,NO,,CE3X,1.69,4.29,Lloguer,0.49,2.1,424833.33,4575247.5,Abans de 1979,Edificis existents,,D,12.95,A,0,G,15.28,,0,D,68.16,A,0,G,72.14,,0,D,51.38,A,0,,2.101814603034771,41.32520061069769,POINT (2.101814603035 41.325200610698),NO,,21/07/2022,503,31
2NY6L9ZH5,Calle Coronel Sanfeliu,77,,3,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4452705DF2745A0007OL,C2,64,,Vivienda individual en bloque de viviendas,E,163.78,E,29.98,101.17,11.69,NO,NO,NO,NO,NO,NO,,CE3X,0.72,4.11,Alquiler,0.49,2.1,424375.25,4574977.19,NRE-AT-87,Edificis existents,,E,17.6,C,1.19,G,11.19,,0,E,103.93,D,7.03,G,52.82,,0,E,76.43,C,4.95,,2.096375176922653,41.32272319285505,POINT (2.096375176923 41.322723192855),NO,,03/05/2023,503,31
KDF3NXVJC,Avinguda Verge de Montserrat,42,,1,4,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4657914DF2745F0012DB,C2,51,,Habitatge individual en bloc d'habitatges,G,282.12,G,71.16,81.17,656.44,,NO,NO,NO,,NO,,CE3X,0.62,3.54,Lloguer,0.49,2.1,424597.02,4575507.07,Abans de 1979,Edificis existents,,D,7.46,A,1.21,G,2.2,B,7.68,F,44.02,A,7.16,G,12.98,B,45.31,G,67.59,B,9.34,0.63,2.098959001051606,41.32751638846169,POINT (2.098959001052 41.327516388462),,,15/05/2015,503,31
YNLQVGM81,Avinguda POMPEU FABRA,10,0,BJ,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4052710DF2745A0002IF,C2,213.57,,Terciari,G,227.2,G,38.5,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Lloguer,0.49,2.1,423998.43,4574962.73,Abans de 1979,Edificis existents,Comerç,,,,,,,,,,,,,,,,,,,,,,2.09187498010973,41.32255752358127,POINT (2.09187498011 41.322557523581),,,13/04/2016,503,31
79CF7GF4J,Calle Doctor Soler i Torrens,28,,2,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4060902DF2746A0001KU,C2,46,,Vivienda individual en bloque de viviendas,F,214.45,E,43.14,162.6,12.52,NO,NO,NO,NO,NO,NO,,CE3X,2.38,4.46,Alquiler,0.49,2.1,423913.55,4575872.83,Abans de 1979,Edificis existents,,E,34.06,C,1.28,G,7.8,,0,E,160.85,D,7.57,G,46.03,,0,G,124.36,D,7.75,,2.090746936147049,41.33074641535261,POINT (2.090746936147 41.330746415353),NO,,14/03/2023,503,31
KVV047F44,Carrer ESTANY DE LA ALBUFERA,6,,2,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4051701DF2745A0193HS,C2,80,,Habitatge individual en bloc d'habitatges,E,121.09,E,25.58,47.76,230.96,NO,NO,NO,NO,NO,NO,,CE3X,2.38,3.78,Lloguer,0.49,2.1,424014.86,4574898.31,Abans de 1979,Edificis existents,,D,13.28,A,0.26,G,12.04,,0,D,62.73,A,1.54,G,56.83,,0,D,48.49,A,1.57,0.63,2.092079328318306,41.321978867041814,POINT (2.092079328318 41.321978867042),NO,,04/07/2017,503,31
Z005Y298P,Carrer Coronel Sanfeliu,48,,2,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4352308DF2745C0006RD,C2,59,,Habitatge individual en bloc d'habitatges,E,113.37,E,28.91,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Lloguer,0.49,2.1,424266.26,4575102.65,Abans de 1979,Edificis existents,,,,,,,,,,,,,,,,,,,,,,,2.095057399536759,41.32384293098615,POINT (2.095057399537 41.323842930986),,,17/06/2014,503,31
ZDSP1NXQ3,Avinguda Doctor Gallart i Mones,17,,1,3,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4153105DF2745C0007FF,C2,90,,Habitatge individual en bloc d'habitatges,E,163.4,E,29.2,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Lloguer,0.49,2.1,424023.32,4575109.02,Abans de 1979,Edificis existents,,E,21.41,A,0.33,G,7.43,,0,E,126.39,A,1.92,G,35.09,,0,G,114.04,A,1.7,,2.09215406150645,41.32387744485108,POINT (2.092154061506 41.323877444851),,,01/06/2016,503,31
3KMLJRMD3,Avinguda GALLART I MONES,13,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4153104DF2745C0002MO,C2,28,,Terciari,E,195.34,E,41.37,80.82,190.53,,NO,NO,NO,,NO,,CE3X,1.8,3.78,Compra o Venda,0.49,2.1,424013.07,4575122.18,NBE-CT-79,Edificis existents,Local,D,21,A,0,G,20.37,A,0,E,99.17,A,0,F,96.17,A,0,F,76.67,A,0,,2.09202995351729,41.32399500564202,POINT (2.092029953517 41.323995005642),,,24/04/2017,503,31
RNV7VWFTD,Carretera Marina,41,,3,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4856110DF2745F0013JZ,C2,75,,Habitatge individual en bloc d'habitatges,E,139.3,E,31.73,0,0,,NO,NO,NO,,NO,,CE3,0,0,Lloguer,0.49,2.1,424766.78,4575366.62,NBE-CT-79,Edificis existents,,,,,,,,,,,,,,,,,,,,,,,2.101004726927445,41.326267271018274,POINT (2.101004726927 41.326267271018),,,29/07/2014,503,31
3XQPY1J0W,Plaça CONSTITUCIO,5,,2º,3ª,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4853609DF2745D0009HW,C2,63.11,,Habitatge individual en bloc d'habitatges,E,129.9,E,24.3,84.01,563.42,,NO,NO,NO,,NO,,CE3X,1.69,5.7,Compra o Venda,0.49,2.1,424769.69,4575124.25,Abans de 1979,Edificis existents,,D,12.76,A,0.23,G,11.28,,0,D,75.3,A,1.36,G,53.29,,0,E,55.38,A,0.96,0.63,2.101069499552975,41.32408460861987,POINT (2.101069499553 41.32408460862),,,03/07/2016,503,31
909L1SYQM,Calle Coronel Sanfeliu,46,,0,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4352307DF2745C0001DI,C2,35,,Terciario,F,325.06,E,59,196.87,23.56,NO,NO,NO,,NO,NO,,CE3X,1.69,5.7,Alquiler,0.49,2.1,424259.42,4575116.92,NBE-CT-79,Edificis existents,Local,D,19.66,F,4.41,,0,F,34.93,E,92.86,F,26.01,,0,F,206.2,G,71.79,F,26.62,,2.094973899738264,41.32397081266373,POINT (2.094973899738 41.323970812664),NO,,25/09/2019,503,31
X4RR0NGSD,Carrer Girona,165,,bx,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4652808DF2745D0001KJ,C2,48,,Terciari,C,196.2,C,38.77,22.46,170.95,NO,NO,NO,,NO,NO,,CE3X,1.98,5.66,Lloguer,0.49,2.1,424576.77,4575003.24,Abans de 1979,Edificis existents,Local,G,27.66,C,3.68,A,0,A,7.43,G,130.61,C,21.71,A,0,A,43.88,G,100.98,C,22.22,,2.098779579914431,41.322976692654464,POINT (2.098779579914 41.322976692654),NO,,23/10/2018,503,31
508P4TZ88,Carrer MADOZ,28,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4258230DF2745G0001SZ,C2,236,,Bloc d'habitatges plurifamiliar,E,138.12,D,23.4,70.68,2.8,NO,NO,NO,NO,NO,NO,,CE3X,2.38,5.7,Lloguer,0.49,2.1,424106.64,4575587.74,Abans de 1979,Edificis existents,,E,21.31,C,1.57,A,0.52,,0,E,125.79,D,9.27,A,3.06,,0,E,84.07,D,9.49,,2.093089745882975,41.32819693069474,POINT (2.093089745883 41.328196930695),NO,,18/06/2019,503,31
QZTVLYJW7,Carrer Cerdanya,83,,2,5,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3854404DF2735D0001HD,C2,55,,Habitatge individual en bloc d'habitatges,E,195.63,E,41.2,54.94,3457.13,,NO,NO,NO,,NO,,CE3X,2.08,5.7,Lloguer,0.49,2.1,423749.92,4575297.37,Abans de 1979,Edificis existents,,E,26.42,B,0.83,G,13.95,,0,E,124.75,C,4.9,G,65.98,,0,E,96.45,C,5.02,0.8,2.088863966112158,41.325548024049276,POINT (2.088863966112 41.325548024049),,,28/04/2017,503,31
4MZK30HHB,Carrer MANUEL BERTRAND,54,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4459207DF2745G0001DZ,C2,198,,Habitatge unifamiliar,D,104.85,C,21.97,86.27,5.49,NO,NO,NO,NO,NO,NO,,CE3X,2.26,1.84,Edificis o parts d¿edificis on es realitzin reformes o ampliacions,0.49,2.1,424339.64,4575784.15,CTE 2013,Edificis existents,,D,19.34,A,0.94,A,1.69,,0,D,91.31,B,5.57,A,7.97,,0,E,92.17,B,5.71,,2.095849257605184,41.329987820391395,POINT (2.095849257605 41.329987820391),NO,,17/02/2024,503,31
2SKZGB48J,Calle Caldetes,1,,0,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4652801DF2745D0001QJ,C2,27,,Terciario,D,211.6,D,40.53,144.6,13.82,NO,NO,NO,NO,NO,NO,,CE3X,1.83,5.7,Alquiler,0.49,2.1,424502.01,4575022.26,Abans de 1979,Edificis existents,Local,D,23.4,A,0,D,10.98,D,6.14,E,110.51,A,0,D,64.85,D,36.24,F,85.44,A,0,,2.097884027753703,41.32314100108915,POINT (2.097884027754 41.323141001089),NO,,23/02/2022,503,31
VBXN9G88Z,Avenida Verge Montserrat,150,,0,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4154219DF2745C0002WO,C2,42,,Vivienda individual en bloque de viviendas,E,181.69,D,30.78,92.98,14.74,NO,NO,NO,NO,NO,NO,,CE3X,1.69,5.7,Alquiler,0.49,2.1,424003.36,4575203.07,Abans de 1979,Edificis existents,,D,20.2,A,0.71,,0,E,9.87,F,119.25,A,4.19,,0,E,58.25,G,86.23,A,3.88,,2.09190382717709,41.32472263396581,POINT (2.091903827177 41.324722633966),NO,,14/09/2022,503,31
JZHB38JNT,Avinguda Verge de Montserrat,125,,1,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4354402DF2745C0003UP,C2,75,,Habitatge individual en bloc d'habitatges,E,203.3,E,40.4,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Compra o Venda,0.49,2.1,424223.3,4575282.72,Abans de 1979,Edificis existents,,E,29.73,A,0.17,G,10.49,,0,E,140.41,A,1.02,G,61.91,,0,F,108.55,A,1.05,,2.094521679061566,41.32546071313184,POINT (2.094521679062 41.325460713132),,,25/10/2016,503,31
MXT5Y2YZD,Calle Sant Pol de mar,8,,1,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4852304DF2745D0003JL,C2,71,,Vivienda individual en bloque de viviendas,F,219.15,E,46.19,182.48,11.29,NO,NO,NO,NO,NO,NO,,CE3X,1.83,3.7,Alquiler,0.49,2.1,424698.13,4575079.68,Abans de 1979,Edificis existents,,E,35.9,B,0.87,G,9.42,,0,E,169.53,C,5.13,G,44.48,,0,G,117.11,C,4.52,,2.100220049168306,41.32367650282884,POINT (2.100220049168 41.323676502829),NO,,26/08/2020,503,31
80KPTJS3P,Paseo Ramon Codina,21,,1,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3646406DF2734F0018HT,C2,68,,Vivienda individual en bloque de viviendas,E,191.95,E,37.66,138.11,802.69,NO,NO,NO,NO,NO,NO,,CE3X,1.69,5.7,Compra o Venta,0.49,2.1,423566.29,4574564.24,NBE-CT-79,Edificis existents,,E,25.7,C,1.26,G,10.7,,0,E,121.38,D,7.41,G,63.15,,0,E,93.84,D,7.59,0.83,2.086762175522179,41.31892763550936,POINT (2.086762175522 41.318927635509),NO,,18/09/2018,503,31
B3F7SYP1H,Carrer APEL·LES MESTRES,51,,01,02,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3855702DF2735F0003JP,C2,60,,Habitatge individual en bloc d'habitatges,F,226.85,E,47.81,188.87,11.68,NO,NO,NO,NO,NO,NO,,CE3X,2.38,5.5,Lloguer,0.49,2.1,423785.76,4575360.5,Abans de 1979,Edificis existents,,E,32.1,B,0.91,G,14.81,,0,E,151.57,C,5.34,G,69.94,,0,G,117.18,C,5.47,,2.089284260036632,41.32611999905783,POINT (2.089284260037 41.326119999058),NO,,22/06/2022,503,31
4PPV15D52,Plaça DE LA VILA,13,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4260920DF2746A,C2,1346,,Bloc d'habitatges plurifamiliar,E,187.15,E,39.6,157.03,855.01,NO,NO,NO,NO,NO,NO,,CE3X,1,5.24,Sol·licitud d'ajuts,0.49,2.1,424130.82,4575848.17,Abans de 1979,Edificis existents,,E,33.44,A,0.12,G,6.03,,0,E,157.93,A,0.72,G,28.49,,0,E,87.59,A,0.66,0.63,2.09334613709465,41.3305447937167,POINT (2.093346137095 41.330544793717),NO,,28/11/2018,503,31
0T5LX7RT7,Carrer RAMON CODINA,28,63-77-79-81-83-85-87-89,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3847103DF2734F,C2,5164.48,,Bloc d'habitatges plurifamiliar,E,151.41,E,38.67,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Lloguer,0.49,2.1,423786.18,4574559.36,Abans de 1979,Edificis existents,,E,15.66,D,3.7,G,5.88,,0,E,92.43,E,21.84,G,34.73,,0,E,47.3,C,10.76,,2.08938973709066,41.31890449692672,POINT (2.089389737091 41.318904496927),,,04/03/2015,503,31
5X5XVH66V,Carrer Catalunya,70,,Bx,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4653502DF2745D0001EJ,C2,58.8,,Habitatge individual en bloc d'habitatges,G,127.6,F,52.2,64.37,228.79,,NO,NO,NO,,NO,,CE3X,2.38,4.35,Compra o Venda,0.49,2.1,424545.85,4575173.43,Abans de 1979,Edificis existents,,E,34.95,B,0.99,G,16.22,,0,E,165.04,C,5.82,G,76.6,,0,G,127.59,C,5.96,0.63,2.098389035924062,41.3245066350193,POINT (2.098389035924 41.324506635019),,,06/10/2016,503,31
1TYJH9XQP,Carrer Riu Anoia,23,23,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3444307DF2734C,C2,831,,Bloc d'habitatges plurifamiliar,E,106.25,D,22.5,89.29,0.67,NO,NO,NO,NO,NO,NO,,CE3X,0.6,3.78,Sol·licitud d'ajuts,0.49,2.1,423262.01,4574268.05,NBE-CT-79,Edificis existents,,E,18.33,A,0,D,4.17,,0,E,86.56,A,0,E,19.69,,0,E,63.86,A,0,,2.083164439009622,41.3162310746725,POINT (2.08316443901 41.316231074673),NO,,12/09/2021,503,31
30GJPCN8,Carrer Jaume Casanovas,164,,4,3,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4253106DF2745C0029IU,C2,68,,Habitatge individual en bloc d'habitatges,E,110.93,D,22.33,84.19,6.47,NO,NO,NO,NO,NO,NO,,CE3X,2.12,4.46,Compravenda,0.49,2.1,424144.61,4575116.73,Abans de 1979,Edificis existents,,E,20.55,B,0.68,A,1.1,,0,E,101.74,B,4,A,5.2,,0,E,77.77,B,3.72,,2.09360222032791,41.323958307063585,POINT (2.093602220328 41.323958307064),NO,,23/01/2024,503,31
LZW983KBY,Carrer CATALUNYA,86,,2,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4653507DF2745D0005YZ,C2,53,,Habitatge individual en bloc d'habitatges,F,223.62,E,44.77,138.99,16.83,NO,NO,NO,NO,NO,NO,,CE3X,2.38,5.7,Lloguer,0.49,2.1,424596.21,4575199.28,Abans de 1979,Edificis existents,,E,23.94,C,1.57,G,19.25,,0,E,141.34,D,9.3,G,72.98,,0,F,103.95,C,6.55,,2.098987515073111,41.32474416782966,POINT (2.098987515073 41.32474416783),NO,,10/07/2019,503,31
1MCRXTJSR,Carrer CASTELLA,22,B,2,2,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4355304DF2745E0021GJ,C2,68.17,,Habitatge individual en bloc d'habitatges,E,163.55,E,34.4,135.62,576.4,NO,NO,NO,NO,NO,NO,,CE3X,2.22,5.7,Compravenda,0.49,2.1,424241.44,4575423.03,Abans de 1979,Edificis existents,,E,20.37,B,0.94,G,13.09,,0,E,96.2,C,5.54,G,61.82,,0,E,74.37,C,5.67,0.63,2.094720921136382,41.32672613419606,POINT (2.094720921136 41.326726134196),NO,,17/08/2017,503,31
8GYYK2WCF,Carrer Lleida,21,,0,12,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4050801DF2745A0012QZ,C2,78,,Terciari,D,291.56,E,72.5,0,0,,NO,NO,NO,,NO,,CE3X,0,0,Lloguer,0.49,2.1,423998.97,4574823.35,NBE-CT-79,Edificis existents,Comerç,F,42.07,,0,G,7.96,,0,F,198.65,,0,G,37.59,,0,E,69.11,,0,,2.091898859909323,41.32130223454998,POINT (2.091898859909 41.32130223455),,,18/09/2014,503,31
04GKP9HTD,Passeig Ramón Codina,14,,2º,1ª,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3646409DF2734F0051KE,C2,77,,Habitatge individual en bloc d'habitatges,E,142.58,E,28.15,103.97,8.71,NO,NO,NO,NO,NO,NO,,CE3X,1.8,5.21,Lloguer,0.49,2.1,423499.85,4574472.12,NBE-CT-79,Edificis existents,,E,19.98,B,0.63,G,7.54,,0,E,94.34,B,3.75,G,44.49,,0,E,72.93,B,3.84,,2.085980032806218,41.31809164771987,POINT (2.085980032806 41.31809164772),NO,,13/07/2021,503,31
R470BGBFM,Calle Rosa Ribas i Parellada,16,,3,1,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4053112DF2745C0013GJ,C2,62,,Vivienda individual en bloque de viviendas,E,150.46,E,27.22,90.43,10.97,NO,NO,NO,NO,NO,NO,,CE3X,1.93,4.3,Alquiler,0.49,2.1,423922.34,4575075.94,Abans de 1979,Edificis existents,,E,17.64,B,0.92,G,8.66,,0,E,104.14,C,5.43,G,40.89,,0,E,76.59,B,3.83,,2.090951737120864,41.32356998395411,POINT (2.090951737121 41.323569983954),NO,,10/03/2021,503,31
HGHJX16Z1,Carrer Empordà,79,,4,3,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3955905DF2735F0020OZ,C2,43,,Habitatge individual en bloc d'habitatges,E,205.79,E,43.46,170.53,10.31,NO,NO,NO,NO,NO,NO,,CE3X,2.38,4.86,Lloguer,0.49,2.1,423882.45,4575343.96,Abans de 1979,Edificis existents,,E,34.91,A,0.49,G,8.06,,0,E,164.87,B,2.87,G,38.05,,0,F,106.96,B,2.93,,2.09044158128084,41.325980165585584,POINT (2.090441581281 41.325980165586),NO,,30/03/2021,503,31
G9NCXR3R7,Calle FREDERICA MONTSENY,23,B,00,02,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,3449501DF2734G0122PK,C2,62.9,,Vivienda individual en bloque de viviendas,F,204.77,F,41.99,215.67,820,,NO,NO,NO,,NO,,CE3X,1.8,2.42,Compra o Venta,0.49,2.1,423372.64,4574826.53,NBE-CT-79,Edificis existents,,E,23.69,B,1.83,E,4.03,,0,E,111.85,C,10.79,E,19.03,,0,G,73.13,C,13.02,0.63,2.084415644011035,41.321271593007275,POINT (2.084415644011 41.321271593007),,,01/12/2015,503,31
2LVF5GKQS,Carrer Sant Joaquim,41,,,,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4560504DF2746B0001EH,C2,80.26,,Habitatge unifamiliar,E,232.3,E,49,28.37,137.19,,NO,NO,NO,,NO,,CE3X,2,4.16,Lloguer,0.49,2.1,424463.57,4575885.28,Abans de 1979,Edificis existents,,E,41.08,A,0.77,F,7.15,,0,E,194,B,4.56,G,33.76,,0,G,149.99,B,4.67,0.63,2.097317486669391,41.33091028145594,POINT (2.097317486669 41.330910281456),,,27/05/2016,503,31
9MBCRT7FS,Calle IGNASI IGLESIAS,61,A,02,01,08820,Prat de Llobregat (El),Baix Llobregat,Barcelona,08169,11,08,4461120DF2746A0005WA,C2,58,,Vivienda individual en bloque de viviendas,F,235.75,E,44.61,156.91,15.78,NO,NO,NO,NO,NO,NO,,CE3X,2.38,5.7,Compra o Venta,0.49,2.1,424315.84,4575875.71,Abans de 1979,Edificis existents,,E,23.37,B,0.8,G,20.44,,0,E,110.35,C,4.73,G,120.67,,0,E,85.31,C,4.84,,2.095553472693308,41.330810229908806,POINT (2.095553472693 41.330810229909),NO,,28/09/2023,503,31
